ccaa,entregadas,administradas,admin_entregadas,hasta,fecha,pfizer,moderna,astrazeneca,vacuna_completa
"Andalucía",140295,25809,18.4,"2021-01-03T00:00:00.000Z","2021-01-04T00:00:00.000Z","","","",""
"Andalucía",140295,53934,38.4,"2021-01-06T00:00:00.000Z","2021-01-07T00:00:00.000Z","","","",""
"Andalucía",140295,69445,49.5,"2021-01-07T00:00:00.000Z","2021-01-08T00:00:00.000Z","","","",""
"Andalucía",140295,81387,58,"2021-01-09T00:00:00.000Z","2021-01-11T00:00:00.000Z","","","",""
"Andalucía",140295,94879,67.6,"2021-01-11T00:00:00.000Z","2021-01-12T00:00:00.000Z","","","",""
"Andalucía",209520,109831,52.4,"2021-01-12T00:00:00.000Z","2021-01-13T00:00:00.000Z","","","",""
"Andalucía",216320,123459,57,"2021-01-13T00:00:00.000Z","2021-01-14T00:00:00.000Z",209520,6800,"",""
"Andalucía",216320,139718,65,"2021-01-14T00:00:00.000Z","2021-01-15T00:00:00.000Z",209520,6800,"",""
"Andalucía",216320,151404,70,"2021-01-17T00:00:00.000Z","2021-01-18T00:00:00.000Z",209520,6800,"",533
"Andalucía",216320,164820,76.2,"2021-01-18T00:00:00.000Z","2021-01-19T00:00:00.000Z",209520,6800,"",1773
"Andalucía",251420,174279,69.3,"2021-01-19T00:00:00.000Z","2021-01-20T00:00:00.000Z",244620,6800,"",4568
"Andalucía",251420,194101,77.2,"2021-01-20T00:00:00.000Z","2021-01-21T00:00:00.000Z",244620,6800,"",15193
"Andalucía",251420,209766,83.4,"2021-01-21T00:00:00.000Z","2021-01-22T00:00:00.000Z",244620,6800,"",20846
"Andalucía",251420,226309,90,"2021-01-24T00:00:00.000Z","2021-01-25T00:00:00.000Z",244620,6800,"",25516
"Andalucía",251420,251172,99.9,"2021-01-25T00:00:00.000Z","2021-01-26T00:00:00.000Z",244620,6800,"",37978
"Andalucía",330980,257976,77.9,"2021-01-26T00:00:00.000Z","2021-01-27T00:00:00.000Z",324180,6800,"",50951
"Andalucía",330980,265620,80.3,"2021-01-27T00:00:00.000Z","2021-01-28T00:00:00.000Z",324180,6800,"",55004
"Andalucía",330980,282995,85.5,"2021-01-28T00:00:00.000Z","2021-01-29T00:00:00.000Z",324180,6800,"",67511
"Andalucía",330980,299792,90.6,"2021-01-31T00:00:00.000Z","2021-02-01T00:00:00.000Z",324180,6800,"",78640
"Andalucía",330980,313286,94.7,"2021-02-01T00:00:00.000Z","2021-02-02T00:00:00.000Z",324180,6800,"",90764
"Andalucía",416830,329258,79,"2021-02-02T00:00:00.000Z","2021-02-03T00:00:00.000Z",400230,16600,"",104529
"Andalucía",416830,345648,82.9,"2021-02-03T00:00:00.000Z","2021-02-04T00:00:00.000Z",400230,16600,"",117953
"Andalucía",416830,363482,87.2,"2021-02-04T00:00:00.000Z","2021-02-05T00:00:00.000Z",400230,16600,"",131693
"Andalucía",416830,378943,90.9,"2021-02-07T00:00:00.000Z","2021-02-08T00:00:00.000Z",400230,16600,"",143552
"Andalucía",451330,390077,86.4,"2021-02-08T00:00:00.000Z","2021-02-09T00:00:00.000Z",400230,16600,34500,151577
"Andalucía",545910,401714,73.6,"2021-02-09T00:00:00.000Z","2021-02-10T00:00:00.000Z",475110,36300,34500,159969
"Andalucía",545910,415015,76,"2021-02-10T00:00:00.000Z","2021-02-11T00:00:00.000Z",475110,36300,34500,168087
"Andalucía",545910,431642,79.1,"2021-02-11T00:00:00.000Z","2021-02-12T00:00:00.000Z",475110,36300,34500,176731
"Andalucía",545910,457018,83.7,"2021-02-14T00:00:00.000Z","2021-02-15T00:00:00.000Z",475110,36300,34500,190867
"Andalucía",545910,468983,85.9,"2021-02-15T00:00:00.000Z","2021-02-16T00:00:00.000Z",475110,36300,34500,194477
"Andalucía",679510,485673,71.5,"2021-02-15T00:00:00.000Z","2021-02-17T00:00:00.000Z",568710,36300,74500,198314
"Andalucía",679510,506973,74.6,"2021-02-17T00:00:00.000Z","2021-02-18T00:00:00.000Z",568710,36300,74500,202631
"Andalucía",679510,561803,82.7,"2021-02-18T00:00:00.000Z","2021-02-19T00:00:00.000Z",568710,36300,74500,208721
"Andalucía",679510,607552,89.4,"2021-02-21T00:00:00.000Z","2021-02-22T00:00:00.000Z",568710,36300,74500,215070
"Andalucía",679510,626659,92.2,"2021-02-22T00:00:00.000Z","2021-02-23T00:00:00.000Z",568710,36300,74500,216617
"Aragón",23715,2004,8.5,"2021-01-02T00:00:00.000Z","2021-01-04T00:00:00.000Z","","","",""
"Aragón",23715,6186,26.1,"2021-01-06T00:00:00.000Z","2021-01-07T00:00:00.000Z","","","",""
"Aragón",23715,9944,41.9,"2021-01-08T00:00:00.000Z","2021-01-08T00:00:00.000Z","","","",""
